Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
Finding Frankie;https://www.grouvee.com/games/101805-finding-frankie/;Oct 25, 2024;PC;;;;;;(3.33 average Grouvee user rating);
Late Homework | 遅れた宿題;https://www.grouvee.com/games/101867-late-homework/;Oct 30, 2024;Browser, Mac, PC;;;;;;(4.33 average Grouvee user rating);
Planet Coaster 2;https://www.grouvee.com/games/101872-planet-coaster-2/;Nov 6, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.33 average Grouvee user rating);
Death of the Reprobate;https://www.grouvee.com/games/91320-death-of-the-reprobate/;Nov 7, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Farming Simulator 25;https://www.grouvee.com/games/100570-farming-simulator-25/;Nov 12, 2024;Mac, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.67 average Grouvee user rating);
Songs of Silence;https://www.grouvee.com/games/100257-songs-of-silence/;Nov 13, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.33 average Grouvee user rating);
The Devil Within: Satgat;https://www.grouvee.com/games/102045-the-devil-within-satgat/;Nov 21, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.67 average Grouvee user rating);
Alien: Rogue Incursion;https://www.grouvee.com/games/100039-alien-rogue-incursion/;Dec 19, 2024;Meta Quest, PC, PlayStation 5;;;;;;(3.33 average Grouvee user rating);
CATO: Buttered Cat;https://www.grouvee.com/games/100731-cato-buttered-cat/;2024;PC;;;;;;(2.00 average Grouvee user rating);
Corpse Party II: Darkness Distortion;https://www.grouvee.com/games/97648-corpse-party-ii-darkness-distortion/;2024;Nintendo Switch, PC, PlayStation 4;;;;;;(5.00 average Grouvee user rating);
Deathbound;https://www.grouvee.com/games/100096-deathbound/;2024;PC;;;;;;(2.00 average Grouvee user rating);
Delta Force: Hawk Ops;https://www.grouvee.com/games/98620-delta-force-hawk-ops/;2024;Android, PC, PlayStation 4, PlayStation 5, Xbox Series X|S, iPhone;;;;;;(3.00 average Grouvee user rating);
Winter Memories;https://www.grouvee.com/games/98780-winter-memories/;Jan 5, 2024;PC;;;;;;(3.00 average Grouvee user rating);
KinitoPET;https://www.grouvee.com/games/101617-kinitopet/;Jan 9, 2024;Browser, PC;;;;;;(3.50 average Grouvee user rating);
Despair: Blood Curse;https://www.grouvee.com/games/98822-despair-blood-curse/;Jan 10, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Cryptis;https://www.grouvee.com/games/99326-cryptis/;Jan 12, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Home Safety Hotline;https://www.grouvee.com/games/98908-home-safety-hotline/;Jan 16, 2024;PC;;;;;;(3.50 average Grouvee user rating);
Kingsvein;https://www.grouvee.com/games/98914-kingsvein/;Jan 16, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Love and Deepspace;https://www.grouvee.com/games/101392-love-and-deepspace/;Jan 18, 2024;Android, iPhone;;;;;;(4.00 average Grouvee user rating);
Rotten Flesh - Cosmic Horror Survival Game;https://www.grouvee.com/games/98773-rotten-flesh-cosmic-horror-survival-game/;Jan 22, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Teletext;https://www.grouvee.com/games/100426-teletext/;Jan 30, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Murders on the Yangtze River;https://www.grouvee.com/games/101204-murders-on-the-yangtze-river/;Jan 31, 2024;Mac, PC;;;;;;(4.00 average Grouvee user rating);
WitchHand;https://www.grouvee.com/games/99114-witchhand/;Feb 7, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Epigraph;https://www.grouvee.com/games/102559-epigraph/;Feb 19, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Terminator: Dark Fate - Defiance;https://www.grouvee.com/games/90158-terminator-dark-fate-defiance/;Feb 21, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Yohane the Parhelion - NUMAZU in the MIRAGE -;https://www.grouvee.com/games/99270-yohane-the-parhelion-numazu-in-the-mirage/;Feb 22, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(4.00 average Grouvee user rating);
Wizzerd Quest;https://www.grouvee.com/games/99277-wizzerd-quest/;Feb 23, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Piczle Cross: Story of Seasons;https://www.grouvee.com/games/99098-piczle-cross-story-of-seasons/;Feb 27, 2024;Nintendo Switch, PC;;;;;;(4.50 average Grouvee user rating);
Picross S+;https://www.grouvee.com/games/97851-picross-s/;Feb 29, 2024;Nintendo Switch;;;;;;(3.50 average Grouvee user rating);
SANYA;https://www.grouvee.com/games/101190-sanya/;Mar 1, 2024;PC;;;;;;(3.50 average Grouvee user rating);
Quilts & Cats of Calico;https://www.grouvee.com/games/96524-quilts-cats-of-calico/;Mar 5, 2024;Nintendo Switch, PC;;;;;;(2.00 average Grouvee user rating);
Dragon's Dogma 2 Character Creator & Storage;https://www.grouvee.com/games/100064-dragons-dogma-2-character-creator-storage/;Mar 7, 2024;PC;;;;;;(2.50 average Grouvee user rating);
New Star GP;https://www.grouvee.com/games/99646-new-star-gp/;Mar 7, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Death of a Wish;https://www.grouvee.com/games/101207-death-of-a-wish/;Mar 11, 2024;Linux, Mac, Nintendo Switch, PC;;;;;;(3.00 average Grouvee user rating);
Subterrain: Mines of Titan;https://www.grouvee.com/games/99440-subterrain-mines-of-titan/;Mar 12, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Max Mustard;https://www.grouvee.com/games/100254-max-mustard/;Mar 21, 2024;Meta Quest;;;;;;(4.50 average Grouvee user rating);
Unleaving;https://www.grouvee.com/games/100363-unleaving/;Mar 27, 2024;PC;;;;;;(2.00 average Grouvee user rating);
CARS;https://www.grouvee.com/games/99547-cars/;Apr 1, 2024;Linux, Mac, PC;;;;;;(3.00 average Grouvee user rating);
Please Leave Me Alone, I Need to Poop;https://www.grouvee.com/games/99601-please-leave-me-alone-i-need-to-poop/;Apr 8, 2024;Mac, PC;;;;;;(2.00 average Grouvee user rating);
The Planet Crafter;https://www.grouvee.com/games/102185-the-planet-crafter/;Apr 10, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox;;;;;;(4.50 average Grouvee user rating);
Life Eater;https://www.grouvee.com/games/99627-life-eater/;Apr 16, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Alchemy Frogs;https://www.grouvee.com/games/99822-alchemy-frogs/;May 1, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Gift;https://www.grouvee.com/games/100752-gift/;May 8, 2024;;;;;;;(2.00 average Grouvee user rating);
Solo Leveling: Arise;https://www.grouvee.com/games/102320-solo-leveling-arise/;May 8, 2024;Android, PC, iPad, iPhone;;;;;;(3.50 average Grouvee user rating);
Touhou Genso Wanderer: Foresight;https://www.grouvee.com/games/99226-touhou-genso-wanderer-foresight/;May 15, 2024;Nintendo Switch, PC, PlayStation 4;;;;;;(2.50 average Grouvee user rating);
Rungore;https://www.grouvee.com/games/99981-rungore/;May 16, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Genopanic;https://www.grouvee.com/games/99937-genopanic/;May 17, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Playing Kafka;https://www.grouvee.com/games/101888-playing-kafka/;May 21, 2024;Mac, PC;;;;;;(3.50 average Grouvee user rating);
Zet Zillions;https://www.grouvee.com/games/100301-zet-zillions/;May 23, 2024;PC;;;;;;(4.50 average Grouvee user rating);
Anthology of the Killer;https://www.grouvee.com/games/100145-anthology-of-the-killer/;May 28, 2024;Linux, Mac, PC;;;;;;(4.50 average Grouvee user rating);
F1 24;https://www.grouvee.com/games/99179-f1-24/;May 28, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Capes;https://www.grouvee.com/games/94093-capes/;May 29, 2024;Linux, PC;;;;;;(3.00 average Grouvee user rating);
Kamaeru: A Frog Refuge;https://www.grouvee.com/games/98967-kamaeru-a-frog-refuge/;Jun 8, 2024;Linux, Mac, PC;;;;;;(4.00 average Grouvee user rating);
Pooool;https://www.grouvee.com/games/100248-pooool/;Jun 8, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Rocket Knight Adventures Re-Sparked;https://www.grouvee.com/games/98823-rocket-knight-adventures-re-sparked/;Jun 11, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(3.50 average Grouvee user rating);
Drug Dealer Simulator 2;https://www.grouvee.com/games/100490-drug-dealer-simulator-2/;Jun 20, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Neo Sprint;https://www.grouvee.com/games/100583-neo-sprint/;Jun 27, 2024;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Oh Deer;https://www.grouvee.com/games/100795-oh-deer/;Jun 27, 2024;PC;;;;;;(3.50 average Grouvee user rating);
Mirthwood;https://www.grouvee.com/games/100449-mirthwood/;Q3 2024;PC;;;;;;(1.50 average Grouvee user rating);
Reka;https://www.grouvee.com/games/91528-reka/;Q3 2024;PC;;;;;;(4.00 average Grouvee user rating);
Horticular;https://www.grouvee.com/games/100872-horticular/;Jul 11, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Linkito;https://www.grouvee.com/games/100521-linkito/;Jul 23, 2024;Linux, PC;;;;;;(3.00 average Grouvee user rating);
Ogu and the Secret Forest;https://www.grouvee.com/games/101950-ogu-and-the-secret-forest/;Jul 29, 2024;Android, Mac, PC, iPhone;;;;;;(4.00 average Grouvee user rating);
Fate/stay night REMASTERED;https://www.grouvee.com/games/100637-fatestay-night-remastered/;Aug 7, 2024;Nintendo Switch, PC;;;;;;(5.00 average Grouvee user rating);
Dungeons & Degenerate Gamblers;https://www.grouvee.com/games/101007-dungeons-degenerate-gamblers/;Aug 8, 2024;Linux, Mac, PC;;;;;;(3.00 average Grouvee user rating);
Supermarket Together;https://www.grouvee.com/games/101615-supermarket-together/;Aug 9, 2024;PC;;;;;;(1.50 average Grouvee user rating);
shapez 2;https://www.grouvee.com/games/102685-shapez-2/;Aug 15, 2024;;;;;;;(4.50 average Grouvee user rating);
Madden NFL 25;https://www.grouvee.com/games/99899-madden-nfl-25/;Aug 16, 2024;PlayStation 5, Xbox Series X|S;;;;;;(2.00 average Grouvee user rating);
Sucker for Love: Date to Die For;https://www.grouvee.com/games/100627-sucker-for-love-date-to-die-for/;Aug 23, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Aestik;https://www.grouvee.com/games/101432-aestik/;Aug 25, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Fairy Tail: Dungeons;https://www.grouvee.com/games/101121-fairy-tail-dungeons/;Aug 26, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Pico Park 2;https://www.grouvee.com/games/101127-pico-park-2/;Aug 27, 2024;Mac, Nintendo Switch, PC;;;;;;(4.00 average Grouvee user rating);
The Abandoned Planet;https://www.grouvee.com/games/101115-the-abandoned-planet/;Aug 29, 2024;Android, PC, iPhone;;;;;;(2.50 average Grouvee user rating);
Tales Of Wind;https://www.grouvee.com/games/75195-tales-of-wind/;Sep 4, 2024;Android, PC, iPhone;;;;;;(3.00 average Grouvee user rating);
Edge of Sanity;https://www.grouvee.com/games/101450-edge-of-sanity/;Sep 13, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Funko Fusion;https://www.grouvee.com/games/100419-funko-fusion/;Sep 13, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(2.50 average Grouvee user rating);
Hands of Necromancy II;https://www.grouvee.com/games/101573-hands-of-necromancy-ii/;Sep 16, 2024;PC;;;;;;(3.50 average Grouvee user rating);
Just a To The Moon Series Beach Episode;https://www.grouvee.com/games/102076-just-a-to-the-moon-series-beach-episode/;Sep 20, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Maiden Cops;https://www.grouvee.com/games/94040-maiden-cops/;Sep 22, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Warhammer 40,000: Rogue Trader - Void Shadows;https://www.grouvee.com/games/101533-warhammer-40000-rogue-trader-void-shadows/;Sep 24, 2024;Mac, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Worlds of Aria;https://www.grouvee.com/games/101783-worlds-of-aria/;Sep 24, 2024;PC;;;;;;(2.50 average Grouvee user rating);
The Legend of Heroes: Kai no Kiseki - Farewell, O Zemuria;https://www.grouvee.com/games/98828-the-legend-of-heroes-kai-no-kiseki-farewell-o-zemuria/;Sep 26, 2024;PC, PlayStation 4, PlayStation 5;;;;;;(4.00 average Grouvee user rating);
Worms Armageddon: Anniversary Edition;https://www.grouvee.com/games/101131-worms-armageddon-anniversary-edition/;Sep 26, 2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Daemonologie;https://www.grouvee.com/games/101677-daemonologie/;Oct 1, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Fruitbus;https://www.grouvee.com/games/100236-fruitbus/;Q4 2024;PC;;;;;;(2.00 average Grouvee user rating);
TETRACHROMA;https://www.grouvee.com/games/101103-tetrachroma/;Q4 2024;PC;;;;;;(3.50 average Grouvee user rating);
Pinball Spire;https://www.grouvee.com/games/100152-pinball-spire/;Oct 2, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Beloved Rapture;https://www.grouvee.com/games/100134-beloved-rapture/;Oct 7, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Blazing Strike;https://www.grouvee.com/games/91316-blazing-strike/;Oct 16, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5;;;;;;(4.00 average Grouvee user rating);
Arsene Lupin: Once a Thief;https://www.grouvee.com/games/100026-arsene-lupin-once-a-thief/;Oct 17, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.00 average Grouvee user rating);
RetroRealms Double Feature: Halloween and Ash vs Evil Dead;https://www.grouvee.com/games/101016-retrorealms-double-feature-halloween-and-ash-vs-evil-dead/;Oct 18, 2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.50 average Grouvee user rating);
Teleforum;https://www.grouvee.com/games/102422-teleforum/;Oct 19, 2024;Mac, PC;;;;;;(2.50 average Grouvee user rating);
The Rocky Horror Show Video Game;https://www.grouvee.com/games/101812-the-rocky-horror-show-video-game/;Oct 20, 2024;Nintendo Switch, PC;;;;;;(3.00 average Grouvee user rating);
Tormenture;https://www.grouvee.com/games/101777-tormenture/;Oct 21, 2024;PC;;;;;;(4.50 average Grouvee user rating);
Kong: Survivor Instinct;https://www.grouvee.com/games/101586-kong-survivor-instinct/;Oct 22, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Technotopia;https://www.grouvee.com/games/102325-technotopia/;Oct 23, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Card-en-Ciel;https://www.grouvee.com/games/102077-card-en-ciel/;Oct 24, 2024;PC;;;;;;(3.50 average Grouvee user rating);
Rogue Flight;https://www.grouvee.com/games/101873-rogue-flight/;Oct 24, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(3.50 average Grouvee user rating);
Connection: The Nightmare Within;https://www.grouvee.com/games/101820-connection-the-nightmare-within/;Oct 25, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Tostchu;https://www.grouvee.com/games/102379-tostchu/;Oct 28, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Ratshaker;https://www.grouvee.com/games/102440-ratshaker/;Nov 1, 2024;PC;;;;;;(2.50 average Grouvee user rating);
In Sink;https://www.grouvee.com/games/100489-in-sink/;Nov 12, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Great God Grove;https://www.grouvee.com/games/100234-great-god-grove/;Nov 15, 2024;PC;;;;;;(4.00 average Grouvee user rating);
MySims Cozy Bundle;https://www.grouvee.com/games/101137-mysims-cozy-bundle/;Nov 19, 2024;Nintendo Switch, PC;;;;;;(3.00 average Grouvee user rating);
Luma Island;https://www.grouvee.com/games/102152-luma-island/;Nov 20, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Get To Work;https://www.grouvee.com/games/102450-get-to-work/;Dec 2, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Pretend It's Not There;https://www.grouvee.com/games/102680-pretend-its-not-there/;Dec 3, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Entropy Survivors;https://www.grouvee.com/games/102219-entropy-survivors/;Dec 4, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Fitness Boxing 3: Your Personal Trainer;https://www.grouvee.com/games/101134-fitness-boxing-3-your-personal-trainer/;Dec 5, 2024;Nintendo Switch;;;;;;(3.50 average Grouvee user rating);
Symphonia;https://www.grouvee.com/games/102275-symphonia/;Dec 5, 2024;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Stars In The Trash;https://www.grouvee.com/games/102239-stars-in-the-trash/;Dec 9, 2024;PC;;;;;;(2.50 average Grouvee user rating);
Go Home Annie;https://www.grouvee.com/games/102175-go-home-annie/;Dec 10, 2024;PC;;;;;;(4.00 average Grouvee user rating);
NanoApostle;https://www.grouvee.com/games/102481-nanoapostle/;Dec 12, 2024;Nintendo Switch, PC;;;;;;(3.50 average Grouvee user rating);
Desmond's Castle;https://www.grouvee.com/games/102573-desmonds-castle/;2024;PC;;;;;;(3.00 average Grouvee user rating);
Everholm;https://www.grouvee.com/games/96680-everholm/;2024;PC;;;;;;(1.00 average Grouvee user rating);
GreedFall II: The Dying World;https://www.grouvee.com/games/92505-greedfall-ii-the-dying-world/;2024;PC;;;;;;(3.00 average Grouvee user rating);
Into the Emberlands;https://www.grouvee.com/games/100205-into-the-emberlands/;2024;PC;;;;;;(2.00 average Grouvee user rating);
Killer Bean;https://www.grouvee.com/games/89123-killer-bean/;2024;PC;;;;;;(3.00 average Grouvee user rating);
Mark of the Deep;https://www.grouvee.com/games/100319-mark-of-the-deep/;2024;PC;;;;;;(3.00 average Grouvee user rating);
Mira: The Legend of the Djinns;https://www.grouvee.com/games/93235-mira-the-legend-of-the-djinns/;Jan 2024;PC;;;;;;(2.00 average Grouvee user rating);
Never Alone 2;https://www.grouvee.com/games/91212-never-alone-2/;2024;PC;;;;;;(4.00 average Grouvee user rating);
Petit Island;https://www.grouvee.com/games/100253-petit-island/;2024;Nintendo Switch, PC;;;;;;(1.00 average Grouvee user rating);
Project Haven;https://www.grouvee.com/games/83525-project-haven/;2024;PC;;;;;;(2.00 average Grouvee user rating);
Rebots;https://www.grouvee.com/games/83239-rebots/;2024;Mac, PC;;;;;;(3.00 average Grouvee user rating);
Sonokuni;https://www.grouvee.com/games/100522-sonokuni/;2024;PC;;;;;;(5.00 average Grouvee user rating);
Sulfur;https://www.grouvee.com/games/97140-sulfur/;2024;PC, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Tales of the Shire: A The Lord of the Rings Game;https://www.grouvee.com/games/97911-tales-of-the-shire-a-the-lord-of-the-rings-game/;2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Thrasher;https://www.grouvee.com/games/98509-thrasher/;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(4.00 average Grouvee user rating);
Tiny Bookshop;https://www.grouvee.com/games/98369-tiny-bookshop/;2024;;;;;;;(5.00 average Grouvee user rating);
Toxic Crusaders;https://www.grouvee.com/games/96188-toxic-crusaders/;2024;PC;;;;;;(3.00 average Grouvee user rating);
Tribes 3: Rivals;https://www.grouvee.com/games/98445-tribes-3-rivals/;Jan 2024;PC;;;;;;(3.00 average Grouvee user rating);
Unrailed 2: Back on Track;https://www.grouvee.com/games/100202-unrailed-2-back-on-track/;2024;PC;;;;;;(5.00 average Grouvee user rating);
Bootlegger's Mafia Racing Story;https://www.grouvee.com/games/98774-bootleggers-mafia-racing-story/;Jan 2, 2024;PC;;;;;;(1.00 average Grouvee user rating);
Guts 'n Grunts;https://www.grouvee.com/games/98715-guts-n-grunts/;Jan 5, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Kick Bastards;https://www.grouvee.com/games/98795-kick-bastards/;Jan 5, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Zombie Party 丧尸派对;https://www.grouvee.com/games/100825-zombie-party/;Jan 8, 2024;PC;;;;;;(2.00 average Grouvee user rating);
BoardLand;https://www.grouvee.com/games/99706-boardland/;Jan 10, 2024;PC;;;;;;(3.00 average Grouvee user rating);
The Complex IV;https://www.grouvee.com/games/98894-the-complex-iv/;Jan 13, 2024;PC;;;;;;(1.00 average Grouvee user rating);
Interaction Isn't Explicit;https://www.grouvee.com/games/99530-interaction-isnt-explicit/;Jan 15, 2024;PlayStation 5;;;;;;(4.00 average Grouvee user rating);
No Case Should Remain Unsolved;https://www.grouvee.com/games/102452-no-case-should-remain-unsolved/;Jan 17, 2024;Nintendo Switch, PC;;;;;;(5.00 average Grouvee user rating);
Exiled;https://www.grouvee.com/games/102094-exiled/;Jan 18, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Abyss School;https://www.grouvee.com/games/101170-abyss-school/;Jan 19, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Two Climbers;https://www.grouvee.com/games/99028-two-climbers/;Jan 19, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Until the Last Bullet;https://www.grouvee.com/games/99029-until-the-last-bullet/;Jan 19, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Deadly Contagion;https://www.grouvee.com/games/102038-deadly-contagion/;Jan 22, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Dice of God;https://www.grouvee.com/games/100088-dice-of-god/;Jan 22, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Writer's Rush;https://www.grouvee.com/games/101200-writers-rush/;Jan 22, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Stargate: Timekeepers;https://www.grouvee.com/games/89415-stargate-timekeepers/;Jan 23, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Aviators;https://www.grouvee.com/games/99602-aviators/;Jan 24, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Caught On Camera;https://www.grouvee.com/games/102880-caught-on-camera/;Jan 24, 2024;PC;;;;;;(3.00 average Grouvee user rating);
A Night at the Watermill;https://www.grouvee.com/games/101148-a-night-at-the-watermill/;Jan 26, 2024;Linux, Mac, PC;;;;;;(3.00 average Grouvee user rating);
Balls of Steel;https://www.grouvee.com/games/100584-balls-of-steel/;Jan 30, 2024;PC;;;;;;(3.00 average Grouvee user rating);
One Punch Man: World;https://www.grouvee.com/games/97419-one-punch-man-world/;Jan 31, 2024;Android, iPhone;;;;;;(2.00 average Grouvee user rating);
Pru the Pigeon;https://www.grouvee.com/games/102583-pru-the-pigeon/;Feb 1, 2024;PC;;;;;;(5.00 average Grouvee user rating);
Strinova;https://www.grouvee.com/games/100023-strinova/;Feb 1, 2024;Android, PC, PlayStation 5;;;;;;(3.00 average Grouvee user rating);
Legendary Hoplite;https://www.grouvee.com/games/99027-legendary-hoplite/;Feb 2, 2024;PC;;;;;;(1.00 average Grouvee user rating);
Surveillance Work;https://www.grouvee.com/games/102865-surveillance-work/;Feb 3, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Black Gunner Wukong;https://www.grouvee.com/games/99793-black-gunner-wukong/;Feb 5, 2024;PC;;;;;;(2.00 average Grouvee user rating);
CLeM;https://www.grouvee.com/games/101678-clem/;Feb 6, 2024;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Prisonela DX;https://www.grouvee.com/games/99110-prisonela-dx/;Feb 9, 2024;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Soulshard;https://www.grouvee.com/games/99123-soulshard/;Feb 12, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Spark & Kling;https://www.grouvee.com/games/99124-spark-kling/;Feb 12, 2024;PC;;;;;;(3.00 average Grouvee user rating);
News Tower;https://www.grouvee.com/games/99928-news-tower/;Feb 13, 2024;PC;;;;;;(5.00 average Grouvee user rating);
Sonder;https://www.grouvee.com/games/99126-sonder/;Feb 15, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Fossilfuel 2;https://www.grouvee.com/games/102950-fossilfuel-2/;Feb 20, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Qomp 2;https://www.grouvee.com/games/99425-qomp-2/;Feb 20, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
World War: An Age of Industry & Magic;https://www.grouvee.com/games/100090-world-war-an-age-of-industry-magic/;Feb 20, 2024;PC;;;;;;(3.00 average Grouvee user rating);
5-fun Go ni Igai na Ketsumatsu: Monochrome no Toshokan;https://www.grouvee.com/games/99167-5-fun-go-ni-igai-na-ketsumatsu-monochrome-no-toshokan/;Feb 22, 2024;Nintendo Switch;;;;;;(4.00 average Grouvee user rating);
CorpoNation: The Sorting Process;https://www.grouvee.com/games/101183-corponation-the-sorting-process/;Feb 22, 2024;Nintendo Switch, PC, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating);
Yohane the Parhelion - NUMAZU in the MIRAGE -;https://www.grouvee.com/games/99150-yohane-the-parhelion-numazu-in-the-mirage/;Feb 22, 2024;Nintendo Switch, PC, PlayStation 5;;;;;;(2.00 average Grouvee user rating);
Shadowkin;https://www.grouvee.com/games/102476-shadowkin/;Feb 23, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Code Zodiac;https://www.grouvee.com/games/99182-code-zodiac/;Feb 27, 2024;PC;;;;;;(2.00 average Grouvee user rating);
RPG Maker Unite;https://www.grouvee.com/games/91312-rpg-maker-unite/;Feb 28, 2024;Mac, PC;;;;;;(5.00 average Grouvee user rating);
STAR WARS: Dark Forces Remaster;https://www.grouvee.com/games/102080-star-wars-dark-forces-remaster/;Feb 28, 2024;PC;;;;;;(3.00 average Grouvee user rating);
What the Crow?!;https://www.grouvee.com/games/101948-what-the-crow/;Feb 28, 2024;Playdate;;;;;;(2.00 average Grouvee user rating);
Welcome to ParadiZe;https://www.grouvee.com/games/99255-welcome-to-paradize/;Feb 29, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.00 average Grouvee user rating);
The Brew Barons;https://www.grouvee.com/games/101199-the-brew-barons/;Mar 1, 2024;PC;;;;;;(3.00 average Grouvee user rating);
Utter Takedown;https://www.grouvee.com/games/100091-utter-takedown/;Mar 1, 2024;PC;;;;;;(1.00 average Grouvee user rating);
Rabbit Hole;https://www.grouvee.com/games/103009-rabbit-hole/;Mar 2, 2024;PC;;;;;;(4.00 average Grouvee user rating);
Unbearable;https://www.grouvee.com/games/102867-unbearable/;Mar 5, 2024;;;;;;;(1.00 average Grouvee user rating);
Card Fencer;https://www.grouvee.com/games/100243-card-fencer/;Mar 6, 2024;PC;;;;;;(2.00 average Grouvee user rating);
Ludus Mortis;https://www.grouvee.com/games/102368-ludus-mortis/;Mar 6, 2024;PC;;;;;;(3.00 average Grouvee user rating);
A Twisted Tale;https://www.grouvee.com/games/101155-a-twisted-tale/;Mar 7, 2024;Linux, Mac, PC;;;;;;(2.00 average Grouvee user rating);
