Titre;Identifiant unique;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne;Popularité
Princess Peach Showtime!;https://www.grouvee.com/games/97270-princess-peach-showtime/;Mar 22, 2024;Nintendo Switch;;;;;;(3.20 average Grouvee user rating);
Star Wars Outlaws;https://www.grouvee.com/games/86428-star-wars-outlaws/;Aug 30, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating);
Indika;https://www.grouvee.com/games/86899-indika/;May 2, 2024;PC;;;;;;(3.61 average Grouvee user rating);
Dragon Ball: Sparking! Zero;https://www.grouvee.com/games/98520-dragon-ball-sparking-zero/;Oct 8, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.81 average Grouvee user rating);
Hades II;https://www.grouvee.com/games/95305-hades-ii/;May 6, 2024;PC;;;;;;(4.41 average Grouvee user rating);
Banishers: Ghosts of New Eden;https://www.grouvee.com/games/95313-banishers-ghosts-of-new-eden/;Feb 13, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.53 average Grouvee user rating);
Granblue Fantasy: Relink;https://www.grouvee.com/games/52998-granblue-fantasy-relink/;Feb 1, 2024;PC, PlayStation 4, PlayStation 5;;;;;;(3.81 average Grouvee user rating);
Alone in the Dark;https://www.grouvee.com/games/94033-alone-in-the-dark/;Mar 20, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.07 average Grouvee user rating);
Neva;https://www.grouvee.com/games/96933-neva/;Oct 15, 2024;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S;;;;;;(4.11 average Grouvee user rating);
The Rise of the Golden Idol;https://www.grouvee.com/games/98512-the-rise-of-the-golden-idol/;Nov 12, 2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.14 average Grouvee user rating);
Suicide Squad: Kill the Justice League;https://www.grouvee.com/games/84457-suicide-squad-kill-the-justice-league/;Feb 2, 2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(2.45 average Grouvee user rating);
