Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Stellar Blade;https://www.grouvee.com/games/75497-stellar-blade/;Apr 26, 2024;;Shift Up;Sony Computer Entertainment America;Action;;4.00;PlayStation 5
Little Kitty, Big City;https://www.grouvee.com/games/89911-little-kitty-big-city/;May 9, 2024;;Double Dagger Studio;Double Dagger Studio;Adventure , Simulation;;3.73;Nintendo Switch, PC, Xbox One, Xbox Series X|S
Unicorn Overlord;https://www.grouvee.com/games/97871-unicorn-overlord/;Mar 8, 2024;;Vanillaware Ltd.;Atlus Co., Ltd.;Role-Playing , Strategy;;4.14;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox Series X|S
Paper Mario: The Thousand-Year Door;https://www.grouvee.com/games/97874-paper-mario-the-thousand-year-door/;May 23, 2024;;Intelligent Systems Co., Ltd.;Nintendo;Role-Playing;Mario , Mario RPG , Paper Mario;4.32;Nintendo Switch
Nine Sols;https://www.grouvee.com/games/93283-nine-sols/;May 29, 2024;;Red Candle Games;Red Candle Games;Action-Adventure;;4.15;PC, PlayStation 5, Xbox Series X|S
The Plucky Squire;https://www.grouvee.com/games/93166-the-plucky-squire/;Sep 17, 2024;;All Possible Futures;Devolver Digital;Action-Adventure;;3.19;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Another Crab's Treasure;https://www.grouvee.com/games/92318-another-crabs-treasure/;Apr 25, 2024;;Aggro Crab;Aggro Crab;Action-Adventure;;3.58;Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S
Zenless Zone Zero;https://www.grouvee.com/games/92340-zenless-zone-zero/;Jul 4, 2024;;Miho-YO;Miho-YO;Action , Brawler , Role-Playing , Simulation;;3.22;Android, PC, PlayStation 5, iPhone
Thank Goodness You're Here;https://www.grouvee.com/games/97700-thank-goodness-youre-here/;Aug 1, 2024;;Coal Supper;Panic;Platformer;;3.85;Nintendo Switch, PC, PlayStation 5
Silent Hill: The Short Message;https://www.grouvee.com/games/98987-silent-hill-the-short-message/;Jan 31, 2024;;Hexa Drive , Konami Corporation;Konami Corporation;Adventure;Silent Hill;2.46;PlayStation 5
Princess Peach Showtime!;https://www.grouvee.com/games/97270-princess-peach-showtime/;Mar 22, 2024;;Nintendo;Nintendo;Platformer;Mario , Princess Peach;3.20;Nintendo Switch
Star Wars Outlaws;https://www.grouvee.com/games/86428-star-wars-outlaws/;Aug 30, 2024;;Ubisoft Massive;Lucasfilm Games , Ubisoft Entertainment;Action-Adventure;Star Wars;3.53;PC, PlayStation 5, Xbox Series X|S
Indika;https://www.grouvee.com/games/86899-indika/;May 2, 2024;;Odd Meter;11 Bit Studios;Adventure;;3.61;PC
Dragon Ball: Sparking! Zero;https://www.grouvee.com/games/98520-dragon-ball-sparking-zero/;Oct 8, 2024;;Spike Chunsoft;Namco Bandai Games Inc.;Fighting;Dragon Ball , Dragon Ball Z: Budokai Tenkaichi;3.81;PC, PlayStation 5, Xbox Series X|S
Hades II;https://www.grouvee.com/games/95305-hades-ii/;May 6, 2024;;Supergiant Games;Supergiant Games;Action;Hades;4.41;PC
Banishers: Ghosts of New Eden;https://www.grouvee.com/games/95313-banishers-ghosts-of-new-eden/;Feb 13, 2024;;DONTNOD Entertainment;Focus Home Interactive;Action-Adventure , Role-Playing;;3.53;PC, PlayStation 5, Xbox Series X|S
Granblue Fantasy: Relink;https://www.grouvee.com/games/52998-granblue-fantasy-relink/;Feb 1, 2024;;Cygames, Inc. , PlatinumGames;Cygames, Inc.;Action , Role-Playing;Granblue Fantasy;3.81;PC, PlayStation 4, PlayStation 5
Alone in the Dark;https://www.grouvee.com/games/94033-alone-in-the-dark/;Mar 20, 2024;;Pieces Interactive;Nordic Games Publishing AB;Action-Adventure;Alone in the Dark;3.07;PC, PlayStation 5, Xbox Series X|S
Neva;https://www.grouvee.com/games/96933-neva/;Oct 15, 2024;;Nomada Studio;Devolver Digital;Adventure;;4.11;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
The Rise of the Golden Idol;https://www.grouvee.com/games/98512-the-rise-of-the-golden-idol/;Nov 12, 2024;;Color Gray Games;PlayStack;Adventure , Puzzle;Golden Idol;4.14;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Suicide Squad: Kill the Justice League;https://www.grouvee.com/games/84457-suicide-squad-kill-the-justice-league/;Feb 2, 2024;;Rocksteady Studios Ltd;WB Games;Action-Adventure , Role-Playing , Shooter;Batman: Arkham Asylum , DC Universe , Suicide Squad;2.45;PC, PlayStation 5, Xbox Series X|S
Super Mario Party Jamboree;https://www.grouvee.com/games/100413-super-mario-party-jamboree/;Oct 17, 2024;;;Nintendo;Trivia/Board Game;Mario , Mario Party , Super Mario;3.98;Nintendo Switch
Sonic X Shadow Generations;https://www.grouvee.com/games/98986-sonic-x-shadow-generations/;Oct 25, 2024;;Sonic Team;Sega;Platformer;Shadow the Hedgehog , Sonic the Hedgehog;4.29;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
MiSide;https://www.grouvee.com/games/102364-miside/;Dec 10, 2024;;Aihasto;Shochiku , IndieArk;Adventure;;3.98;PC
Content Warning;https://www.grouvee.com/games/99551-content-warning/;Apr 1, 2024;;Landfall Games;Landfall Games;Adventure , First-Person Shooter;;3.27;PC
Crow Country;https://www.grouvee.com/games/99833-crow-country/;May 9, 2024;;SFB Games;SFB Games;Action-Adventure;;4.05;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Kunitsu-Gami: Path of the Goddess;https://www.grouvee.com/games/97129-kunitsu-gami-path-of-the-goddess/;Jul 19, 2024;;Capcom;Capcom;Action , Strategy;;3.82;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
1000xResist;https://www.grouvee.com/games/98584-1000xresist/;May 9, 2024;;sunset visitor 斜陽過客;Surprise Attack Games;Adventure;;4.14;Nintendo Switch, PC
Lorelei and the Laser Eyes;https://www.grouvee.com/games/93544-lorelei-and-the-laser-eyes/;May 16, 2024;;Simogo;Annapurna Interactive;Adventure , Puzzle;;4.29;Nintendo Switch, PC
Duck Detective: The Secret Salami;https://www.grouvee.com/games/99979-duck-detective-the-secret-salami/;May 23, 2024;;Happy Broccoli Games;Happy Broccoli Games;Adventure;;3.49;Linux, Mac, PC
Minishoot' Adventures;https://www.grouvee.com/games/99583-minishoot-adventures/;Apr 2, 2024;;SoulGame;IndieArk , SoulGame;Action-Adventure , Shoot 'Em Up;;4.34;PC
S.T.A.L.K.E.R. 2: Heart of Chornobyl;https://www.grouvee.com/games/29632-stalker-2-heart-of-chornobyl/;Nov 20, 2024;;GSC Game World;GSC Game World;Action-Adventure , First-Person Shooter;S.T.A.L.K.E.R.;3.45;PC, Xbox Series X|S
Mario vs. Donkey Kong;https://www.grouvee.com/games/97863-mario-vs-donkey-kong/;Feb 16, 2024;;Nintendo Software Technology Corporation;Nintendo;Platformer , Puzzle;Mario , Mario vs. Donkey Kong;3.26;Nintendo Switch
Pepper Grinder;https://www.grouvee.com/games/95088-pepper-grinder/;Mar 28, 2024;;Ahr Ech;Devolver Digital;Action-Adventure;;3.44;Nintendo Switch, PC
Botany Manor;https://www.grouvee.com/games/95090-botany-manor/;Apr 9, 2024;;Balloon Studios;Whitethorn Digital;Simulation;;3.66;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Nobody Wants to Die;https://www.grouvee.com/games/99542-nobody-wants-to-die/;Jul 17, 2024;;Critical Hit Games;PLAION;Action-Adventure;;3.21;PC, PlayStation 5, Xbox Series X|S
Open Roads;https://www.grouvee.com/games/86086-open-roads/;Mar 28, 2024;;Open Roads Team , The Fullbright Company;Annapurna Interactive;Adventure;;3.10;PC, PlayStation 5, Xbox Series X|S
Pacific Drive;https://www.grouvee.com/games/94427-pacific-drive/;Feb 22, 2024;;Ironwood Studios;Kepler Interactive;Adventure;;3.22;PC, PlayStation 5
Eiyuden Chronicle: Hundred Heroes;https://www.grouvee.com/games/84216-eiyuden-chronicle-hundred-heroes/;Apr 23, 2024;;Rabbit & Bear Studios;505 Games , Rabbit & Bear Studios;Role-Playing;Eiyuden Chronicle;3.68;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Final Fantasy XIV: Dawntrail;https://www.grouvee.com/games/97561-final-fantasy-xiv-dawntrail/;Jul 2, 2024;;Creative Business Unit III , Square Enix;Square Enix;MMORPG;Final Fantasy;3.46;Mac, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Shin Megami Tensei V: Vengeance;https://www.grouvee.com/games/99130-shin-megami-tensei-v-vengeance/;Jun 21, 2024;;Atlus Co., Ltd.;Atlus Co., Ltd. , Sega;Role-Playing;Megami Tensei , Shin Megami Tensei;4.22;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Mario & Luigi: Brothership;https://www.grouvee.com/games/100407-mario-luigi-brothership/;Nov 7, 2024;;Acquire;Nintendo;Action-Adventure , Role-Playing;Mario , Mario & Luigi;3.47;Nintendo Switch
Rise of the Rōnin;https://www.grouvee.com/games/94429-rise-of-the-ronin/;Mar 22, 2024;;SCE XDev Studio , Team Ninja;Sony Interactive Entertainment , Tecmo Koei Co., Ltd.;Action , Role-Playing;;3.67;PlayStation 5
Turnip Boy Robs a Bank;https://www.grouvee.com/games/94436-turnip-boy-robs-a-bank/;Jan 18, 2024;;Snoozy Kazoo;Graffiti Games;Action-Adventure;Turnip Boy;3.41;Android, Nintendo Switch, PC, Xbox One, Xbox Series X|S, iPad, iPhone
Until Dawn;https://www.grouvee.com/games/100042-until-dawn/;Oct 4, 2024;;Ballistic Moon;Sony Interactive Entertainment;Adventure;Until Dawn;3.44;PC, PlayStation 5
Life is Strange: Double Exposure;https://www.grouvee.com/games/100177-life-is-strange-double-exposure/;Oct 29, 2024;;Deck Nine Games;Square Enix;Adventure;Life Is Strange;2.96;PC, PlayStation 5, Xbox Series X|S
Tales of Kenzera Zau;https://www.grouvee.com/games/98526-tales-of-kenzera-zau/;Apr 23, 2024;;Surgent Studios;Electronic Arts;Platformer;;3.14;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Wuthering Waves;https://www.grouvee.com/games/99961-wuthering-waves/;May 22, 2024;;Kuro Game;Kuro Game;Action-Adventure , Role-Playing;;3.60;Android, PC, iPad, iPhone
Frostpunk 2;https://www.grouvee.com/games/89031-frostpunk-2/;Sep 20, 2024;;11 Bit Studios;11 Bit Studios;Simulation;Frostpunk;3.63;PC, PlayStation 5, Xbox Series X|S
XDefiant;https://www.grouvee.com/games/88697-xdefiant/;May 21, 2024;;Ubisoft San Francisco;Ubisoft Entertainment;First-Person Shooter;Tom Clancy;2.98;PC, PlayStation 5, Xbox Series X|S
Dungeons of Hinterberg;https://www.grouvee.com/games/97132-dungeons-of-hinterberg/;Jul 18, 2024;;Microbird;Curve Studios;Action , Role-Playing;;3.86;PC, Xbox Series X|S
UFO 50;https://www.grouvee.com/games/58705-ufo-50/;Sep 18, 2024;;Mossmouth, LLC;Mossmouth, LLC;Compilation;;3.93;PC
Deep Rock Galactic: Survivor;https://www.grouvee.com/games/98031-deep-rock-galactic-survivor/;Feb 14, 2024;;Funday Games;Ghost Ship Publishing;Shooter;Deep Rock Galactic;3.71;PC
Tomb Raider I-II-III Remastered;https://www.grouvee.com/games/97869-tomb-raider-i-ii-iii-remastered/;Feb 14, 2024;;Aspyr Media, Inc.;Square Enix;Action-Adventure , Compilation;Tomb Raider;3.73;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Harold Halibut;https://www.grouvee.com/games/57021-harold-halibut/;Apr 16, 2024;;Slow Bros.;Slow Bros.;Adventure;;3.62;PC, PlayStation 5, Xbox Series X|S
Chained Together;https://www.grouvee.com/games/100696-chained-together/;Jun 19, 2024;;;;Platformer;;3.28;PC
Portal: Revolution;https://www.grouvee.com/games/98863-portal-revolution/;Jan 6, 2024;;;;Action , Adventure , First-Person Shooter , Puzzle;Portal;3.89;Linux, PC
Flintlock: The Siege of Dawn;https://www.grouvee.com/games/93240-flintlock-the-siege-of-dawn/;Jul 18, 2024;;A44;Kepler Interactive;Action-Adventure;;3.14;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Children of the Sun;https://www.grouvee.com/games/99697-children-of-the-sun/;Apr 9, 2024;;René Rother;Devolver Digital;Shooter;;3.64;PC
Path of Exile 2;https://www.grouvee.com/games/97566-path-of-exile-2/;Dec 6, 2024;;Grinding Gear Games;Grinding Gear Games;Action , Role-Playing;Path of Exile;4.06;PC, PlayStation 5, Xbox Series X|S
Dragon Quest III HD-2D Remake;https://www.grouvee.com/games/87802-dragon-quest-iii-hd-2d-remake/;Nov 14, 2024;;Amata K.K.;Square Enix;Role-Playing;Dragon Quest , HD-2D Series;3.66;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Manor Lords;https://www.grouvee.com/games/83858-manor-lords/;Apr 26, 2024;;Slavic Magic;Hooded Horse;Real-Time Strategy , Strategy;;3.65;PC, Xbox One, Xbox Series X|S
The First Descendant;https://www.grouvee.com/games/93654-the-first-descendant/;Jul 2, 2024;;Nexon Games;Nexon Corporation;Action , Role-Playing , Shooter;;3.15;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Anger Foot;https://www.grouvee.com/games/86107-anger-foot/;Jul 11, 2024;;Free Lives;Devolver Digital;First-Person Shooter;;3.41;PC
Tactical Breach Wizards;https://www.grouvee.com/games/93250-tactical-breach-wizards/;Aug 22, 2024;;Suspicious Developments;Suspicious Developments;Strategy;;4.06;PC
Emio – The Smiling Man: Famicom Detective Club;https://www.grouvee.com/games/100809-emio-the-smiling-man-famicom-detective-club/;Aug 29, 2024;;5pb. , Nintendo;Nintendo;Adventure;Famicom Tantei Club;3.94;Nintendo Switch
Age of Mythology: Retold;https://www.grouvee.com/games/100173-age-of-mythology-retold/;Sep 4, 2024;;CaptureAge , Forgotten Empires , Tantalus Media , Virtuos Ltd. , World's Edge;Microsoft Studios;Real-Time Strategy;Age of Mythology;3.75;PC, Xbox Series X|S
Sheepy: A Short Adventure;https://www.grouvee.com/games/89257-sheepy-a-short-adventure/;Feb 6, 2024;;MrSuicideSheep;MrSuicideSheep;Adventure , Platformer;;3.81;PC
Penny's Big Breakaway;https://www.grouvee.com/games/97275-pennys-big-breakaway/;Feb 21, 2024;;Evening Star;Private Division;Action-Adventure , Platformer;;3.13;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
WWE 2K24;https://www.grouvee.com/games/98878-wwe-2k24/;Mar 4, 2024;;Visual Concepts;2K Games;Wrestling;WWE , WWE 2K;3.50;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Mullet Mad Jack;https://www.grouvee.com/games/97164-mullet-mad-jack/;May 15, 2024;;Hammers;Epopeia Games;First-Person Shooter;;3.72;PC
The Casting of Frank Stone;https://www.grouvee.com/games/98521-the-casting-of-frank-stone/;Sep 3, 2024;;Behaviour Interactive , Supermassive Games;Behaviour Interactive;Adventure;Dead by Daylight;3.03;PC, PlayStation 5, Xbox Series X|S
Another Code: Recollection;https://www.grouvee.com/games/97867-another-code-recollection/;Jan 19, 2024;;Arc System Works Co., Ltd. , CING, Inc. , Nintendo;Nintendo;Adventure , Compilation , Puzzle;Trace Memory;3.68;Nintendo Switch
The Thaumaturge;https://www.grouvee.com/games/95988-the-thaumaturge/;Mar 4, 2024;;Fool's Theory;11 Bit Studios;Role-Playing;;3.43;PC
Celeste 64: Fragments of the Mountain;https://www.grouvee.com/games/98949-celeste-64-fragments-of-the-mountain/;Jan 29, 2024;;Extremely OK Games , Maddy Makes Games;Maddy Makes Games;Platformer;Celeste;3.41;Linux, PC
Home Safety Hotline;https://www.grouvee.com/games/98877-home-safety-hotline/;Jan 16, 2024;;Night Signal Entertainment;Night Signal Entertainment;Horror;;3.38;PC
Supermarket Simulator;https://www.grouvee.com/games/99273-supermarket-simulator/;Feb 20, 2024;;;;;;3.58;PC
Contra: Operation Galuga;https://www.grouvee.com/games/97870-contra-operation-galuga/;Mar 12, 2024;;WayForward Technologies;Konami Corporation , Limited Run Games;Action , Shooter;Contra;3.19;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
EA Sports College Football 25;https://www.grouvee.com/games/86561-ea-sports-college-football-25/;Jul 19, 2024;;EA Tiburon;Electronic Arts;Football;;3.85;PlayStation 5, Xbox Series X|S
Cat Quest III;https://www.grouvee.com/games/96934-cat-quest-iii/;Aug 8, 2024;;The Gentlebros Pte. Ltd.;Kepler Interactive;Action , Role-Playing;Cat Quest;3.88;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
World of Warcraft: The War Within;https://www.grouvee.com/games/98230-world-of-warcraft-the-war-within/;Aug 26, 2024;;Blizzard Entertainment;Blizzard Entertainment;MMORPG;Warcraft;3.46;Mac, PC
Crypt Custodian;https://www.grouvee.com/games/101139-crypt-custodian/;Aug 27, 2024;;Kyle Thompson;H2 Interactive Co. Ltd. , Kyle Thompson , Top Hat Studios, Inc;Action-Adventure , Platformer;;4.19;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Lollipop Chainsaw RePop;https://www.grouvee.com/games/93631-lollipop-chainsaw-repop/;Sep 12, 2024;;Dragami Games;Dragami Games;Action;Lollipop Chainsaw;3.35;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
EA Sports FC 25;https://www.grouvee.com/games/100811-ea-sports-fc-25/;Sep 20, 2024;;EA Canada , EA Sports;EA Sports;Soccer;EA Sports FC;2.77;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Infinity Nikki;https://www.grouvee.com/games/100037-infinity-nikki/;Dec 2024;;Papergames;Infold Games;Action-Adventure;Nikki Up2U;3.54;Android, PC, PlayStation 4, PlayStation 5, iPhone
Ultros;https://www.grouvee.com/games/96940-ultros/;Feb 13, 2024;;Hadoque;Kepler Interactive;Action-Adventure;;3.60;PC, PlayStation 4, PlayStation 5
Pokémon Trading Card Game Pocket;https://www.grouvee.com/games/102127-pokemon-trading-card-game-pocket/;Aug 8, 2024;;;The Pokémon Company;Card Game;Pokémon , Pokémon TCG;3.24;Android, iPad, iPhone
Snufkin: Melody of Moominvalley;https://www.grouvee.com/games/91717-snufkin-melody-of-moominvalley/;Mar 7, 2024;;Hyper Games;Hyper Games , Raw Fury;Adventure;Moomins;3.71;Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Once Human;https://www.grouvee.com/games/100488-once-human/;Jul 9, 2024;;Starry Studio;Starry Studio;Action-Adventure , Simulation;;3.13;PC
Harry Potter: Quidditch Champions;https://www.grouvee.com/games/100122-harry-potter-quidditch-champions/;Sep 3, 2024;;Unbroken Studios;WB Games;Sports;Harry Potter;2.67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Diablo IV: Vessel of Hatred;https://www.grouvee.com/games/98233-diablo-iv-vessel-of-hatred/;mardi 1 octobre 2024;;Blizzard Entertainment;Blizzard Entertainment;Action-Adventure , Role-Playing;Diablo;3.33;Mac, PC, PlayStation 5, Xbox Series X|S
Cryptmaster;https://www.grouvee.com/games/99828-cryptmaster/;May 9, 2024;;Akupara Games;Akupara Games;Adventure , Role-Playing;;3.48;PC
Brothers: A Tale of Two Sons Remake;https://www.grouvee.com/games/98510-brothers-a-tale-of-two-sons-remake/;Feb 28, 2024;;Avantgarden;505 Games;Adventure;;3.18;PC, PlayStation 5, Xbox Series X|S
SteamWorld Heist II;https://www.grouvee.com/games/99644-steamworld-heist-ii/;Aug 8, 2024;;Thunderful;Thunderful;Adventure;SteamWorld;3.95;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
LEGO Horizon Adventures;https://www.grouvee.com/games/100121-lego-horizon-adventures/;Nov 14, 2024;;Guerrilla Games , PlayStation Studios , Studio Gobo;PlayStation Publishing LLC , Sony Computer Entertainment America , Spike Chunsoft;Action-Adventure;Horizon , LEGO;2.59;Nintendo Switch, PC, PlayStation 5
Lil' Guardsman;https://www.grouvee.com/games/98170-lil-guardsman/;Jan 23, 2024;;Hilltop Studios;Versus Evil , tinyBuild;Adventure;;3.67;PC
Skull & Bones;https://www.grouvee.com/games/57912-skull-bones/;Feb 16, 2024;;Ubisoft Singapore;Ubisoft Entertainment;Action-Adventure;;2.29;Amazon Luna, PC, PlayStation 5, Xbox Series X|S
Until Then;https://www.grouvee.com/games/100576-until-then/;Jun 25, 2024;;Polychroma Games;Maximum Entertainment;Adventure;;4.48;PC
World of Goo 2;https://www.grouvee.com/games/98516-world-of-goo-2/;Aug 2, 2024;;2D Boy , Tomorrow Corporation;Tomorrow Corporation;Puzzle;World of Goo;3.81;Nintendo Switch, PC
Nintendo World Championships: NES Edition;https://www.grouvee.com/games/99812-nintendo-world-championships-nes-edition/;Jul 18, 2024;;;Nintendo;Compilation , Minigame Collection;Nintendo World Championships;3.55;Nintendo Switch
Shogun Showdown;https://www.grouvee.com/games/101497-shogun-showdown/;Sep 5, 2024;;;Gamera Game , Goblinz Studio;Strategy;;3.65;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tiny Glade;https://www.grouvee.com/games/100495-tiny-glade/;Sep 23, 2024;;Pounce Light;Pounce Light;Simulation;;3.70;Linux, PC
Monument Valley III;https://www.grouvee.com/games/101082-monument-valley-iii/;Dec 10, 2024;;ustwo games;Netflix;Puzzle;Monument Valley;3.95;
Momodora: Moonlit Farewell;https://www.grouvee.com/games/94450-momodora-moonlit-farewell/;Jan 11, 2024;;Bombservice;Playism;Action-Adventure , Platformer;Momodora;3.42;PC
Foamstars;https://www.grouvee.com/games/96935-foamstars/;Feb 6, 2024;;Square Enix;Square Enix;Action , Shooter;;2.32;PlayStation 4, PlayStation 5
