Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Banishers: Ghosts of New Eden;Feb 13, 2024;DONTNOD Entertainment;Focus Home Interactive;Action-Adventure , Role-Playing;;3,53;PC, PlayStation 5, Xbox Series X|S
Granblue Fantasy: Relink;Feb 1, 2024;Cygames, Inc, , PlatinumGames;Cygames, Inc,;Action , Role-Playing;Granblue Fantasy;3,81;PC, PlayStation 4, PlayStation 5
Alone in the Dark;Mar 20, 2024;Pieces Interactive;Nordic Games Publishing AB;Action-Adventure;Alone in the Dark;3,07;PC, PlayStation 5, Xbox Series X|S
Neva;Oct 15, 2024;Nomada Studio;Devolver Digital;Adventure;;4,11;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
The Rise of the Golden Idol;Nov 12, 2024;Color Gray Games;PlayStack;Adventure , Puzzle;Golden Idol;4,14;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Suicide Squad: Kill the Justice League;Feb 2, 2024;Rocksteady Studios Ltd;WB Games;Action-Adventure , Role-Playing , Shooter;Batman: Arkham Asylum , DC Universe , Suicide Squad;2,45;PC, PlayStation 5, Xbox Series X|S
Super Mario Party Jamboree;Oct 17, 2024;;Nintendo;Trivia/Board Game;Mario , Mario Party , Super Mario;3,98;Nintendo Switch
Sonic X Shadow Generations;Oct 25, 2024;Sonic Team;Sega;Platformer;Shadow the Hedgehog , Sonic the Hedgehog;4,29;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
MiSide;Dec 10, 2024;Aihasto;Shochiku , IndieArk;Adventure;;3,98;PC
Content Warning;Apr 1, 2024;Landfall Games;Landfall Games;Adventure , First-Person Shooter;;3,27;PC
Crow Country;May 9, 2024;SFB Games;SFB Games;Action-Adventure;;4,05;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Kunitsu-Gami: Path of the Goddess;Jul 19, 2024;Capcom;Capcom;Action , Strategy;;3,82;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
1000xResist;May 9, 2024;sunset visitor 斜陽過客;Surprise Attack Games;Adventure;;4,14;Nintendo Switch, PC
Lorelei and the Laser Eyes;May 16, 2024;Simogo;Annapurna Interactive;Adventure , Puzzle;;4,29;Nintendo Switch, PC
Duck Detective: The Secret Salami;May 23, 2024;Happy Broccoli Games;Happy Broccoli Games;Adventure;;3,49;Linux, Mac, PC
Minishoot' Adventures;Apr 2, 2024;SoulGame;IndieArk , SoulGame;Action-Adventure , Shoot 'Em Up;;4,34;PC
S,T,A,L,K,E,R, 2: Heart of Chornobyl;Nov 20, 2024;GSC Game World;GSC Game World;Action-Adventure , First-Person Shooter;S,T,A,L,K,E,R,;3,45;PC, Xbox Series X|S
Mario vs, Donkey Kong;Feb 16, 2024;Nintendo Software Technology Corporation;Nintendo;Platformer , Puzzle;Mario , Mario vs, Donkey Kong;3,26;Nintendo Switch
Pepper Grinder;Mar 28, 2024;Ahr Ech;Devolver Digital;Action-Adventure;;3,44;Nintendo Switch, PC
Botany Manor;Apr 9, 2024;Balloon Studios;Whitethorn Digital;Simulation;;3,66;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Nobody Wants to Die;Jul 17, 2024;Critical Hit Games;PLAION;Action-Adventure;;3,21;PC, PlayStation 5, Xbox Series X|S
Open Roads;Mar 28, 2024;Open Roads Team , The Fullbright Company;Annapurna Interactive;Adventure;;3,1;PC, PlayStation 5, Xbox Series X|S
Pacific Drive;Feb 22, 2024;Ironwood Studios;Kepler Interactive;Adventure;;3,22;PC, PlayStation 5
Eiyuden Chronicle: Hundred Heroes;Apr 23, 2024;Rabbit & Bear Studios;505 Games , Rabbit & Bear Studios;Role-Playing;Eiyuden Chronicle;3,68;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Final Fantasy XIV: Dawntrail;Jul 2, 2024;Creative Business Unit III , Square Enix;Square Enix;MMORPG;Final Fantasy;3,46;Mac, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Shin Megami Tensei V: Vengeance;Jun 21, 2024;Atlus Co,, Ltd,;Atlus Co,, Ltd, , Sega;Role-Playing;Megami Tensei , Shin Megami Tensei;4,22;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Mario & Luigi: Brothership;Nov 7, 2024;Acquire;Nintendo;Action-Adventure , Role-Playing;Mario , Mario & Luigi;3,47;Nintendo Switch
Rise of the Rōnin;Mar 22, 2024;SCE XDev Studio , Team Ninja;Sony Interactive Entertainment , Tecmo Koei Co,, Ltd,;Action , Role-Playing;;3,67;PlayStation 5
Turnip Boy Robs a Bank;Jan 18, 2024;Snoozy Kazoo;Graffiti Games;Action-Adventure;Turnip Boy;3,41;Android, Nintendo Switch, PC, Xbox One, Xbox Series X|S, iPad, iPhone
Until Dawn;Oct 4, 2024;Ballistic Moon;Sony Interactive Entertainment;Adventure;Until Dawn;3,44;PC, PlayStation 5
Life is Strange: Double Exposure;Oct 29, 2024;Deck Nine Games;Square Enix;Adventure;Life Is Strange;2,96;PC, PlayStation 5, Xbox Series X|S
Tales of Kenzera Zau;Apr 23, 2024;Surgent Studios;Electronic Arts;Platformer;;3,14;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Wuthering Waves;May 22, 2024;Kuro Game;Kuro Game;Action-Adventure , Role-Playing;;3,6;Android, PC, iPad, iPhone
Frostpunk 2;Sep 20, 2024;11 Bit Studios;11 Bit Studios;Simulation;Frostpunk;3,63;PC, PlayStation 5, Xbox Series X|S
