Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Schim;Jul 18, 2024;Ewoud Van Der Werf;Extra Nice;Platformer;;2,36;Linux, Mac, PC, PlayStation 4, PlayStation 5
Doom + Doom II;Aug 8, 2024;MachineGames , Night Dive Studios , id Software;Bethesda Softworks;First-Person Shooter;Doom;4,45;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Shadow of the Ninja - Reborn;Aug 29, 2024;Tengo Project;Natsume Atari;Action;Shadow of the Ninja;3,73;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Squirrel with a Gun;Aug 29, 2024;Daniel DeEntremont;Daniel DeEntremont , Modus Games;Platformer , Shooter;;3,09;PC, PlayStation 5, Xbox Series X|S
Ara: History Untold;Sep 24, 2024;Oxide Games;Microsoft Studios;Strategy;;2,45;PC
Loco Motive;Nov 21, 2024;Robust Games;Chucklefish Games;Adventure , Puzzle;;3,09;Mac, Nintendo Switch, PC
Mighty Morphin Power Rangers: Rita's Rewind;Dec 10, 2024;Digital Eclipse Software, Inc,;Hasbro;Brawler;Power Rangers;3,64;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Creatures of Ava;Jan 01, 2024;Inverge Studios;11 Bit Studios;Action-Adventure;;3,4;PC
Gundam Breaker 4;Jan 01, 2024;;Namco Bandai Games Inc,;Action;Gundam , Gundam Breaker;3,7;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Paleo Pines;Jan 01, 2024;Ritual Studios;Playdigious;Simulation;;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Star Wars: Battlefront Classic Collection;Mar 14, 2024;Aspyr Media, Inc, , Pandemic Studios;Aspyr Media, Inc,;Compilation;Star Wars , Star Wars: Battlefront;2,8;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Doronko Wanko;Mar 26, 2024;Bandai Namco Entertainment;Phoenixx;Action;;3,7;PC
Biomorph;Apr 5, 2024;Lucid Dreams Studio;Lucid Dreams Studio;Action-Adventure , Platformer;;3,4;PC
Withering Rooms;Apr 5, 2024;Moonless Formless;Perp Games;Action , Role-Playing;;4,1;PC
Paper Trail;May 21, 2024;Newfangled Games;Newfangled Games;Adventure , Puzzle;;3,3;Android, Mac, PC, iPhone
Leap Year;Jun 14, 2024;;;Adventure , Platformer;;4;PC
Super Monkey Ball: Banana Rumble;Jun 25, 2024;;Sega;Action;Super Monkey Ball;3,7;Nintendo Switch
The Crimson Diamond;Aug 15, 2024;Julia Minamata;Julia Minamata;Adventure;;4;PC
Garden of the Sea;Oct 01, 2024;Neat Corporation;Neat Corporation;Simulation;;3;Nintendo Switch, PC
Liar's Bar;Oct 2, 2024;Curve Animation;Curve Animation;Strategy;;3,2;PC
A Quiet Place: The Road Ahead;Oct 17, 2024;EP1T0ME , Stormind Games , iLLOGIKA;Saber Interactive;Adventure;;3,4;PC, PlayStation 5, Xbox Series X|S
Rivals of Aether II;Oct 23, 2024;Dan Fornace;Offbrand Games;Fighting;Rivals of Aether;3,4;PC
Mind Over Magnet;Nov 13, 2024;;;Platformer , Puzzle;;3,6;PC
Fantasian Neo Dimension;Dec 31, 2024;Mistwalker Corporation;Square Enix;Role-Playing;Fantasian;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
While We Wait Here;Jan 01, 2024;Bad Vices Games;Bad Vices Games;Adventure , Horror , Simulation;;3,67;PC
Windblown;Jan 01, 2024;Motion Twin;Kepler Interactive , Motion Twin;Action;;3,67;PC
The Last Flame;Jan 16, 2024;;;Role-Playing , Strategy;;3,22;PC
King of the Bridge;Mar 8, 2024;;;Puzzle;;2,89;PC
Saviorless;Apr 2, 2024;;Dear Villagers;Platformer;;2,89;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Fallen Aces;Jun 14, 2024;Jason Bond , Trey Powell;New Blood Interactive;Brawler , First-Person Shooter;;3,56;PC
Dungeonborne;Jul 19, 2024;Mithril Interactive;Mithril Interactive;Action , Role-Playing;;3,22;PC
Fallout London;Jan 01, 2024;;;;;3,44;PC
Cygni: All Guns Blazing;Aug 6, 2024;KeelWorks , KeelWorks;KeelWorks , Konami Corporation;Shoot 'Em Up;;2,78;PC, PlayStation 5, Xbox Series X|S
Crime Scene Cleaner;Aug 14, 2024;;PlayWay;Simulation;;3,67;PC
Marvel vs Capcom Fighting Collection - Arcade Classics;Sep 11, 2024;Capcom;Capcom;Compilation;Capcom Collection , Marvel , Marvel vs, Capcom;4,56;Nintendo Switch, PC, PlayStation 4, Xbox One
Wild Bastards;Sep 12, 2024;Blue Manchu;Modus Games;First-Person Shooter;Bastards;3,22;PC
Enotria The Last Song;Sep 19, 2024;Jyamma Games;Jyamma Games;Action , Role-Playing;;2,89;PC, PlayStation 5, Xbox Series X|S
Lorn's Lure;Sep 20, 2024;Rubeki Games;Rubeki Games;Platformer;;3,78;PC
Rogue Waters;Sep 30, 2024;Ice Code Games;Tripwire Presents;Strategy;;2,89;PC
MechWarrior 5: Clans;Oct 16, 2024;Piranha Games;Piranha Games;Action , First-Person Shooter , Shooter , Simulation , Vehicular Combat;MechWarrior;3,44;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Microsoft Flight Simulator 2024;Nov 19, 2024;Asobo Studio , Microsoft Studios;Microsoft Studios;Flight Simulator;Flight Simulator;3,22;PC, Xbox Series X|S
TEST TEST TEST;Jan 17, 2024;Mojiken Studio;Toge Productions;Adventure , Puzzle;;3,63;PC
The Cub;Jan 19, 2024;Demagog Studio;Gamersky , Untold Tales;Action , Platformer;;3,5;PC
Under Night In-Birth II: Sys:Celes;Jan 24, 2024;Soft Circle French-Bread;Arc System Works Co,, Ltd,;Fighting;Under Night In-Birth;4,25;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Berserk Boy;Mar 6, 2024;BerserkBoy Games;Big Sugar;Action , Platformer;;3,5;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Abiotic Factor;May 2, 2024;Deep Field Games;PlayStack;Action-Adventure;;4,25;PC
The WereCleaner;May 7, 2024;;USC Interactive Media;Strategy;;3,88;PC
Rolling Hills: Make Sushi, Make Friends;Jun 4, 2024;Catch & Release, LLC;Catch & Release, LLC;Role-Playing , Simulation;;2,5;PC
The Star Named Eos;Jul 23, 2024;Silver Lining Studio;Playism;Adventure , Puzzle;;3,88;Mac, PC
Kingdom Rush 5: Alliance TD;Jul 25, 2024;Ironhide Games Studio;Ironhide Games Studio;Strategy;Kingdom Rush;3,63;PC
Star Trucker;Sep 3, 2024;Monster and Monster;Raw Fury;Simulation;;2,38;PC
NBA 2K25;Sep 6, 2024;Visual Concepts;2K Games;Basketball;NBA , NBA 2K;3,38;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Batman: Arkham Shadow;Sep 16, 2024;Camouflaj , Oculus Studios;WB Games;;Batman , Batman: Arkham Asylum , DC Universe;4,13;Meta Quest
Kill Knight;Oct 2, 2024;PlaySide;PlaySide;Dual-Joystick Shooter;;3,25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Unknown 9: Awakening;Oct 17, 2024;Reflector;Namco Bandai Games Inc,;Action-Adventure;;2,5;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tetris Forever;Nov 12, 2024;Digital Eclipse Software, Inc,;Digital Eclipse Software, Inc,;Compilation , Puzzle;Gold Master Series , Tetris;4,13;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Bandle Tale: A League of Legends Story;Jan 01, 2024;;Riot Games;;League of Legends;2,86;Nintendo Switch
Summerhouse;Jan 01, 2024;Friedemann;Future Friends Games;Simulation , Strategy;;3,14;PC
Jujutsu Kaisen: Cursed Clash;Feb 1, 2024;Byking;Namco Bandai Games Inc,;Fighting;;1,86;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Dicefolk;Feb 27, 2024;LEAP Game Studios , Tiny Ghoul;Gambitious;Strategy;;3;Nintendo Switch, PC
Llamasoft: The Jeff Minter Story;Mar 13, 2024;Digital Eclipse Software, Inc, , Llamasoft Ltd,;Digital Eclipse Software, Inc,;Compilation;Gold Master Series;3,86;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Endless Ocean Luminous;May 2, 2024;;Nintendo;Adventure , Simulation;Endless Ocean;2,71;Nintendo Switch
The Rogue Prince of Persia;May 14, 2024;Evil Empire;Ubisoft Entertainment;Action , Platformer;Prince of Persia;2,43;PC
Master Key;May 17, 2024;Achromi;Achromi;Action-Adventure;;2,29;Linux, Mac, PC
Nightmare Kart;May 31, 2024;LWMedia;LWMedia;Driving/Racing , Vehicular Combat;;3,86;PC
CLICKOLDING;Jul 17, 2024;Strange Scaffold;Outersloth , Strange Scaffold;Horror;;1,86;PC
Yars Rising;Sep 10, 2024;WayForward Technologies;Atari SA;Adventure , Platformer;Yars' Revenge;3;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Wilmot Works It Out;Oct 23, 2024;Hollow Ponds , Richard Hogg;Finji;Puzzle;Wilmot;4,43;Mac, PC
The Jackbox Survey Scramble;Oct 24, 2024;Jackbox Games, Inc,;Jackbox Games, Inc,;Strategy , Trivia/Board Game;The Jackbox Party Pack;3,43;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
[Redacted];Oct 27, 2024;Striking Distance Studios;Krafton Game Union;Action , Shooter;;3,71;PC, PlayStation 5, Xbox Series X|S
Pokemon Trading Card Game Pocket;Oct 30, 2024;Nintendo;Nintendo;Card Game;;3,86;Android, iPhone
Strinova;Nov 22, 2024;;;Action , Shooter;;2,57;PC
Legacy of Kain: Soul Reaver 1 & 2 Remastered;Dec 10, 2024;Aspyr Media, Inc, , Crystal Dynamics, Inc,;Aspyr Media, Inc,;Action-Adventure , Compilation;Legacy of Kain , Soul Reaver;3,57;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Desvelado;Jan 01, 2024;Joaquín Calvo , Pablo Cuello , Valentín Zacarías;Vampy Games;Platformer;;4,33;PC
Expeditions: A MudRunner Game;Mar 1, 2024;Saber Interactive;Focus Home Interactive;Driving/Racing , Simulation;MudRunner;2;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
The Mobius Machine;Mar 1, 2024;Madruga Works;Madruga Works;Action-Adventure;;3;PC, PlayStation 5, Xbox Series X|S
Astro Duel 2;Mar 7, 2024;Rusty Moyher;Wild Rooster;Platformer , Shooter;;2,17;PC
Mars After Midnight;Mar 12, 2024;Lucas Pope;;Adventure , Puzzle;;4,17;Playdate
Felvidek;Mar 29, 2024;;;Role-Playing;;3,33;PC
Call of Duty: Warzone Mobile;Apr 01, 2024;Activision Shanghai , Beenox Studios , Digital Legends Entertainment , Solid State Studios;Activision;First-Person Shooter;Call of Duty , Modern Warfare;3;Android, iPhone
SaGa Emerald Beyond;Apr 25, 2024;Square Enix;Square Enix;Role-Playing;SaGa;2,17;Android, Nintendo Switch, PC, PlayStation 4, PlayStation 5, iPad, iPhone
An English Haunting;May 15, 2024;Postmodern Adventures;Postmodern Adventures , enComplot;Puzzle;;3,33;PC
Platform 8;May 31, 2024;Kotake Create;Kotake Create , Playism;Adventure , Simulation;8;3;Nintendo Switch, PC
Gladiator Guild Manager;Jun 22, 2024;Entertainment Forge;Gamera Game , GrabTheGames , UpgradePoint;Simulation , Strategy;;3,17;Mac, PC
ONE BTN BOSSES;Aug 6, 2024;Midnight Munchies;Midnight Munchies , Outersloth;Action;;3,67;PC
Sumerian Six;Sep 2, 2024;Artificer;Devolver Digital;;;4,17;PC
Rugrats: Adventures in Gameland;Sep 10, 2024;The MIX Games , Wallride;Limited Run Games , The MIX Games;Platformer;Nickelodeon , Rugrats;2;Nintendo Entertainment System, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Beyond Shadowgate;Sep 19, 2024;GrahfMetal , Zojoi;Zojoi;Adventure;Shadowgate;3,33;PC
Just a To the Moon Series Beach Episode;Sep 20, 2024;Freebird Games;Freebird Games;Adventure , Role-Playing;To the Moon;4,17;PC
GRUNN;Oct 4, 2024;Sokpop Collective;Sokpop Collective;Adventure , Horror;;3,67;PC
Is This Game Trying to Kill Me?;Nov 13, 2024;Stately Snail;Stately Snail;Adventure;;3,17;PC
Atlyss;Nov 22, 2024;;KisSoft;Action-Adventure , Role-Playing;;3,5;PC
Ballionaire;Dec 10, 2024;newobject;Raw Fury;Strategy;;2,67;PC
Broken Roads;Jan 01, 2024;Drop Bear Bytes;Drop Bear Bytes , Team17 Software Limited;Role-Playing;;2,4;Nintendo Switch, PC, PlayStation 4, Xbox One
Replaced;Jan 01, 2024;Sad Cat Studios;Coatsink Software;Action-Adventure , Platformer;;4,2;PC, Xbox One, Xbox Series X|S
KinitoPET;Jan 9, 2024;;;Horror;;2,8;PC
Sovereign Syndicate;Jan 15, 2024;;;;;2,8;PC
Islands of Insight;Feb 13, 2024;Lunarch Studios;Behaviour Interactive;Adventure , Puzzle;;3,8;PC
Please, Touch The Artwork 2;Feb 19, 2024;Thomas Waterzooi;Thomas Waterzooi;Puzzle;Please, Touch The Artwork;3,8;Android, Linux, Mac, PC, iPad, iPhone
Shiren the Wanderer: The Mystery Dungeon of Serpentcoil Island;Feb 27, 2024;Spike Chunsoft;Spike Chunsoft;Role-Playing , Strategy;Mystery Dungeon , Shiren the Wanderer;3,6;Nintendo Switch
Spiritfall;Feb 28, 2024;Gentle Giant;Gentle Giant;Action , Platformer;;3,8;Mac, PC
BORE BLASTERS;Mar 8, 2024;;;Action;;3,2;PC
Highwater;Mar 14, 2024;Demagog Studio;Rogue Games;Adventure , Strategy;;2,8;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Midnight Scenes A Safe Place;Mar 19, 2024;Octavi Navarro;Octavi Navarro;Horror , Puzzle;Midnight Scenes;3,4;PC
Millennia;Mar 26, 2024;C Prompt Games;Paradox Interactive AB;Strategy;;2,8;PC
Smite 2;Apr 7, 2024;Titan Forge Games;Hi-Rez Studios;MOBA;Smite;2,6;PC, PlayStation 5, Xbox Series X|S
Ereban: Shadow Legacy;Apr 10, 2024;Baby Robot Games;Raw Fury;Action;;2,8;PC, Xbox Series X|S
BioGun;Apr 16, 2024;Dapper Dog Digital;Ravenage Games;Action , Platformer;;3,8;PC
Top Spin 2K25;Apr 23, 2024;Hangar 13;2K Sports;Tennis;Top Spin;3,2;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Megaton Musashi W: Wired;Apr 25, 2024;Level-5 Inc,;Level-5 Inc,;Action , Role-Playing;Megaton Musashi;3,6;Nintendo Switch, PC, PlayStation 5
Homeworld 3;May 13, 2024;Blackbird Interactive;Gearbox Publishing;Real-Time Strategy;Homeworld;3,2;PC
Star Wars Hunters;May 14, 2024;Zynga;Lucasfilm Games , Zynga;Action;Star Wars;3,8;Android, Nintendo Switch, PC, iPad, iPhone
What the Fog?;May 14, 2024;Behaviour Interactive;Behaviour Interactive;Adventure;Dead by Daylight;2,4;Mac, PC
Galacticare;May 23, 2024;Cult Games;Brightrock Games;Simulation , Strategy;;3;PC
Warhammer 40,000: Boltgun - Forges of Corruption Expansion;Jan 01, 2024;;;;;3,6;PC
Artisan TD;Jul 22, 2024;4rtisans;Unexpected;Puzzle , Strategy;;3;PC
"""Mars 2120""";Jul 31, 2024;QuByte Interactive;QuByte Interactive;Action-Adventure , Platformer;;3,2;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Stormgate;Aug 13, 2024;Frost Giant Studios;Frost Giant Studios;Strategy;;2,2;PC
Hunt: Showdown 1896;Aug 15, 2024;Crytek GmbH;Crytek GmbH;Action , First-Person Shooter;Hunt: Showdown;3,6;PC, PlayStation 5, Xbox Series X|S
Farewell North;Aug 16, 2024;Kyle Banks;Mooneye Studios;Adventure;;4;Mac, Nintendo Switch, PC, Xbox Series X|S
Beyond Galaxyland;Sep 26, 2024;;;Adventure , Role-Playing;;3,2;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Magic Archery;Oct 4, 2024;;;;;4,2;PC
Phoenix Springs;Oct 7, 2024;Calligram Studios;Calligram Studios;Adventure;;3,6;Linux, Mac, PC
Awaken: Astral Blade;Oct 22, 2024;Dark Pigeon Games;ESDigital Games , Meridiem Games;Adventure , Platformer , Role-Playing;;2,6;Android, PC, PlayStation 4, PlayStation 5
Supervive;Nov 20, 2024;;;;;4;PC
Digseum;Dec 9, 2024;Rat Monthly;Rat Monthly;Simulation;;3,8;PC
Phantom Fury;Jan 1, 2024;Interceptor Entertainment;3D Realms Entertainment;First-Person Shooter;Bombshell;2,75;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Stick It to the Stickman;Jan 1, 2024;Free Lives;Devolver Digital;Action , Brawler;;2,5;PC
Alex Jones: NWO Wars;Jan 3, 2024;;;Action , Shooter;;2,25;PC
The Night is Grey;Jan 5, 2024;Whalestork Interactive;Whalestork Interactive;Adventure , Puzzle;;2,75;PC
No Case Should Remain Unsolved;Jan 17, 2024;;;Adventure , Visual Novel;;4,25;PC
Paper Lily - Chapter 1;Jan 26, 2024;Leef 6010;Leef 6010;Adventure , Puzzle , Role-Playing;Paper Lily;3,75;PC
Lords of Exile;Feb 14, 2024;Squidbit Works;Squidbit Works;Action , Platformer;;3,75;Mac, Nintendo Switch, PC
I Wani Hug that Gator!;Feb 15, 2024;;;Visual Novel;;4,5;PC
100 Dino Cats;Feb 26, 2024;;;Puzzle;;3;PC
Terror at Oakheart;Feb 27, 2024;Tainted Pact;Assemble Entertainment;Action-Adventure , Horror;;3;PC
Ufouria: The Saga 2;Feb 28, 2024;SunSoft;Red Art Games , SunSoft;Platformer;Herebeke;4,25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Spell Disk;Mar 1, 2024;;;Action;;3,75;PC
Classified: France '44;Mar 5, 2024;;Team17 Software Limited;Strategy;;3;PC
Death Trick: Double Blind;Mar 12, 2024;Misty Mountain Studio;Neon Doctrine;Adventure , Strategy;;3,75;PC
last seen online;Mar 15, 2024;;;Horror , Puzzle;;3;PC
Terra Memoria;Mar 27, 2024;La Moutare;Dear Villagers;Role-Playing;;3,75;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Turbo Kid;Apr 10, 2024;Outerminds Inc,;Outerminds Inc,;Action , Vehicular Combat;;3,25;PC
Rotwood;Apr 24, 2024;Klei Entertainment Inc,;Klei Entertainment Inc,;Action;;3,5;PC
Pools;Apr 26, 2024;;UNIKAT Label;;;3,75;
Tell Me Your Story;Apr 26, 2024;RedDeerGames;RedDeerGames;Puzzle;;3,5;Nintendo Switch, PC
Gray Zone Warfare;Apr 30, 2024;MADFINGER Games;MADFINGER Games;First-Person Shooter , Simulation;;3;PC
The Bridge Curse 2: The Extrication;May 9, 2024;Softstar Entertainment Inc,;Game Source Entertainment , Gamera Game;Adventure;The Bridge Curse;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Indigo Park;May 18, 2024;;;Adventure;;3,25;PC
A Tower Full of Cats;May 20, 2024;Devcats;Devcats;Puzzle;;4;Stream
Devil Blade Reboot;May 23, 2024;SHIGATAKE GAMES;SHIGATAKE GAMES;Action , Shoot 'Em Up;Devil Blade;4,5;PC
Astor: Blade of the Monolith;May 30, 2024;C2 Game Studio;Versus Evil , tinyBuild;Action-Adventure;;3,75;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Killer Klowns from Outer Space: The Game;Jun 4, 2024;Illfonic , Television Games;Gambitious , Illfonic;Action;;3,25;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Psychroma;Jun 11, 2024;Rocket Adrift;Rocket Adrift;Adventure;;3;Linux, Mac, PC
Beyond Good & Evil: 20th Anniversary Edition;Jun 25, 2024;Ubisoft Montpellier Studios , Virtuos Ltd,;Ubisoft Entertainment;Adventure , Puzzle , Shooter;Beyond Good & Evil;4;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Vampire Therapist;Jul 18, 2024;Little Bat Games;Little Bat Games;Visual Novel;;3,75;PC
Reynatis;Jul 25, 2024;FuRyu;Arc System Works Co,, Ltd, , FuRyu , NIS America, Inc,;Action-Adventure , Role-Playing;;2,75;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Minds Beneath Us;Jul 31, 2024;BearBoneStudio;BearBoneStudio;Adventure;;4,5;PC
Sword of Convallaria;Jul 31, 2024;X,D, Network Inc,;X,D, Network Inc,;Role-Playing;;3,75;Android, PC, iPad, iPhone
Volgarr the Viking II;Aug 6, 2024;Crazy Viking Studios;Digital Eclipse Software, Inc,;Action-Adventure;Volgarr;3;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
VLADiK BRUTAL;Aug 9, 2024;Narko Games;Narko Games;First-Person Shooter;;2,25;PC
Phantom Spark;Aug 15, 2024;;Coatsink Software , Thunderful;Driving/Racing;;3,75;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Test Drive Unlimited Solar Crown;Sep 12, 2024;Kylotonn Entertainment;Bigben Interactive GmbH;Driving/Racing;Test Drive , Test Drive Unlimited;2,5;PC, PlayStation 5, Xbox Series X|S
Disney Epic Mickey: Rebrushed;Sep 24, 2024;Purple Lamp Studios;THQ Nordic;Adventure , Platformer;Disney Epic Mickey;4,25;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
63 Days;Sep 26, 2024;Destructive Creations;Destructive Creations;Real-Time Strategy;;2;PC, PlayStation 5, Xbox Series X|S
All You Need is Help;Sep 26, 2024;Q-Games Ltd,;Q-Games Ltd,;Puzzle;;2,5;PC, Xbox Series X|S
Undisputed;Oct 11, 2024;Steel City Interactive;KOCH Media , Steel City Interactive;Boxing , Fighting;;2,75;PC, PlayStation 5, Xbox Series X|S
Prim;Oct 23, 2024;;Application Systems Heidelberg Software GmbH;Adventure , Puzzle;;3,75;PC
Psychopomp;Oct 25, 2024;Fading Club;Fading Club;Action-Adventure , First-Person Shooter , Horror;;3,75;PC
Pokémon Trading Card Game Pocket;Oct 30, 2024;Creatures, Inc, , DeNA , The Pokémon Company;The Pokémon Company;Card Game;Pokémon;3,25;Android, iPhone
Chicken Police: Into the HIVE!;Nov 7, 2024;The Wild Gentlemen;Joystick Ventures;Adventure;Chicken Police , World of Wilderness;3,75;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Metro Awakening;Nov 7, 2024;Vertigo Games;Deep Silver , Vertigo Games;Action-Adventure , First-Person Shooter , Simulation;Metro;3,75;PC, PlayStation 5
Follow the meaning;Nov 22, 2024;HiKing Mind Studio;Second Maze;Adventure , Puzzle;;2,75;PC
Lost But Found;Nov 25, 2024;Rogue Duck Interactive;Rogue Duck Interactive;Puzzle , Simulation , Strategy;;3,25;PC
Among Ashes;Dec 9, 2024;Rat Cliff Games;Rat Cliff Games;First-Person Shooter , Horror;;4,25;PC, PlayStation 5
LOK Digital;Dec 11, 2024;Icedrop Games , Letibus Design;Draknek;Puzzle;;4,5;Android, Mac, PC, iPad, iPhone
Citadelum;Jan 1, 2024;Abylight Barcelona;Abylight;Simulation;;2,33;PC
Kitsune Tails;Jan 1, 2024;Kitsune Games;Kitsune Games , Midboss;Platformer;;3,67;Linux, Nintendo Switch, PC, PlayStation 4, PlayStation 5
Shipwrecked 64;Jan 1, 2024;;;Action-Adventure , Adventure , Platformer;;3,67;PC
Spectre Divide;Jan 1, 2024;;;First-Person Shooter;;3,67;PC
The Pony Factory;Jan 18, 2024;David Szymanski , John Szymanski;David Szymanski;First-Person Shooter , Horror;;3;PC
Oblivion Override;Jan 25, 2024;;Paleo Entertainment;;;4,33;PC
Devilated;Jan 29, 2024;Trunka;Neon Doctrine;First-Person Shooter;;1,33;PC
Twilight Oracle;Jan 30, 2024;Cosmic Void;Cosmic Void;Adventure;;2;PC
Boxes: Lost Fragments;Feb 1, 2024;Big Loop Studios;Snapbreak;Puzzle;;3,67;Android, PC, iPhone
A Difficult Game About Climbing;Mar 6, 2024;Pontypants;Pontypants;Puzzle;;4;Android, Browser, Mac, PC
Berserk Boy;Mar 6, 2024;;Big Sugar;Action , Platformer;;3,67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Zoria: Age of Shattering;Mar 7, 2024;Tiny Trinket Games;Anshar Studios , Surefire,Games , Tiny Trinket Games;Role-Playing;;2;Linux, PC
Stolen Realm;Mar 8, 2024;Burst2Flame Entertainment;Burst2Flame Entertainment;Action , Role-Playing;;3,33;PC
Bears In Space;Mar 22, 2024;;Ravenscourt;First-Person Shooter;;3,33;
Between Horizons;Mar 25, 2024;Digitales Interactive;Assemble Entertainment;Adventure;;3;PC
Firestone Idle RPG;Apr 1, 2024;Holyday Studios;Holyday Studios;Strategy;;1,33;PC
Frogmonster;Apr 2, 2024;;;Adventure , First-Person Shooter;;3,33;PC
Bendy: Secrets of the Machine;Apr 14, 2024;Joey Drew Studios;Joey Drew Studios , TheMeatly Games;Adventure;Bendy;2,67;Mac, PC
Bellwright;Apr 23, 2024;Donkey Crew;Donkey Crew , Snail Games USA Inc,;Simulation , Strategy;;2,33;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Demon Slayer: Kimetsu no Yaiba – Sweep the Board!;Apr 25, 2024;Aniplex , CyberConnect2 Co,, Ltd,;Aniplex , Sega;Trivia/Board Game;Kimetsu no Yaiba;2,67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Moonlight Pulse;Apr 26, 2024;;;Action-Adventure , Platformer;;3,33;PC
POOLS;Apr 26, 2024;;UNIKAT Label;Horror;;3;PC
Tales from Candleforth;Apr 30, 2024;Under the Bed Games;Feardemic;Adventure;;3,33;PC
Heading Out;May 7, 2024;Serious Sim;Serious Sim;Driving/Racing;;3,33;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Read Only Memories: Neurodiver;May 16, 2024;Midboss;Midboss;Adventure;Read Only Memories;2,67;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
A Tower Full of Cats;May 20, 2024;;;Puzzle;;4;PC
Amaze!;May 20, 2024;CrazyLabs , Vectormonk;QubicGames;Puzzle;;3,33;Nintendo Switch, PC
Ouros;May 22, 2024;;;Puzzle;;4;Android, Linux, Mac, PC, iPad, iPhone
Venture to the Vile;May 22, 2024;Studio Cut to Bits;Aniplex;Action-Adventure;;3;PC
Skald: Against the Black Priory;May 30, 2024;Scape-IT AS;Raw Fury , Scape-IT AS;Role-Playing;;4,67;PC
G-Mode Archives+ Persona 3 Aegis: The First Misison;Jun 5, 2024;Atlus Co,, Ltd,;G-mode, Inc,;Role-Playing;G-Mode Archives , Persona , Persona 3;4,33;Nintendo Switch, PC
Monster Hunter Stories Collection;Jun 14, 2024;Capcom , Marvelous AQL;Capcom;Role-Playing;;4,33;Nintendo Switch, PlayStation 4
The Talos Principle II: Road to Elysium;Feb 1, 2024;;;;;4,67;PC
